id,Arabic,Hindi,Urdu,Other_Indic_languages,Speak_only_English,Spanish_or_Spanish_Creole,French_Patois_Cajun,French_Creole,Italian,Portuguese_or_Portuguese_Creole,German,Yiddish,Other_West_Germanic_languages,Scandinavian_languages,Greek,Russian,Polish,Serbo_Croatian,Other_Slavic_languages,Armenian,Persian,Gujarati,Other_Indo_European_languages,Chinese,Japanese,Korean,Mon_Khmer_Cambodian,Hmong,Thai,Laotian,Vietnamese,Other_Asian_languages,Tagalog,Other_Pacific_Island_languages,Navajo,Other_Native_North_American_languages,Hungarian,Hebrew,African_languages,Other_and_unspecified_languages
1400000US36047004400,108,0,30,29,1583,109,5,0,72,1,6,0,0,0,195,0,24,0,0,0,5,0,7,123,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047004500,19,0,0,0,2716,247,88,0,37,0,15,0,8,36,19,23,0,0,0,0,0,0,0,15,11,14,0,0,0,0,0,0,29,0,0,0,0,5,0,0
1400000US36047004600,83,0,5,0,910,24,28,0,74,10,0,0,0,0,105,13,38,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047004700,0,0,0,0,1102,269,20,12,34,17,0,0,0,0,0,5,6,0,0,0,0,0,0,24,12,5,0,0,0,0,0,0,13,0,0,0,0,15,0,0
1400000US36047004900,0,7,58,2,1577,329,74,8,40,0,9,0,0,0,4,26,18,0,0,0,12,0,2,4,0,0,2,0,0,0,0,25,0,0,0,0,0,0,3,0
1400000US36047005000,65,0,0,0,1429,133,0,0,75,0,34,0,0,0,247,168,0,0,41,0,0,0,8,67,5,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0
1400000US36047005100,0,0,0,12,1419,301,21,0,21,15,0,0,0,0,0,0,26,0,0,0,0,0,28,49,49,6,0,0,0,0,0,0,0,0,0,0,0,43,0,0
1400000US36047005201,0,0,0,0,926,103,22,0,48,0,0,0,0,0,45,282,8,0,23,0,0,0,0,185,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0
1400000US36047005202,0,0,61,0,1822,73,29,0,48,0,0,0,0,0,37,163,19,0,0,0,0,0,21,0,0,0,0,0,0,0,11,0,5,0,0,0,0,0,0,0
1400000US36047005300,35,0,0,0,1482,649,24,0,6,5,89,0,6,5,0,5,37,0,13,0,0,0,0,27,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
1400000US36047005400,225,0,29,82,1611,341,0,0,24,0,0,0,0,0,114,455,102,0,0,0,0,0,49,168,0,39,0,0,5,0,0,0,8,0,0,0,9,110,17,0
