,ZIPCODE,AREA,avdens,counts,maxcounts
131,10303,81629773.5174,838.83281668,122.490509688,4029.0
132,11234,206201040.088,1633.57461893,19.7013712421,2477.0
133,10302,29555323.0234,837.643771629,155.376998778,1849.0
134,11693,46471727.171,456.6214312,0.0,0.0
135,11209,57842313.9612,17011.0774317,276.852356652,10010.0
136,10304,98226679.7973,585.375641814,168.952044904,3825.0
137,10314,473985727.13,573.866503475,105.959443713,11641.0
138,11228,43893024.7317,10820.1628352,78.2904482588,9596.0
139,11096,1512446.30549,456.6214312,0.0,0.0
140,10305,111441829.318,562.606155173,254.193144842,2947.0
141,11229,60119326.1443,6931.30564611,70.1479074118,4709.0
142,11214,61096539.3891,8931.89557416,110.892525298,5608.0
143,11691,83927815.1123,456.6214312,40.758722976,690.0
144,11096,111973.733962,456.6214312,0.0,0.0
145,11223,58702923.4663,11520.8329318,151.105909813,8427.0
146,11693,1527599.16447,456.6214312,0.0,0.0
147,11692,23992395.3812,456.6214312,8.63797899672,513.0
148,11235,69053803.0317,7010.30673161,119.613107377,5017.0
149,11693,12270916.5305,456.6214312,30.5696907279,78.0
150,10306,174102872.049,456.6214312,54.9965578062,1817.0
151,11694,48101606.6145,456.6214312,2.97714325093,35.0
152,11224,46701983.7536,2442.18209272,61.872808233,4649.0
153,10308,62751041.8151,456.6214312,93.4033822857,1100.0
154,11697,59789760.6199,456.6214312,0.0,0.0
155,10312,169087432.907,466.007186171,124.840575476,2443.0
156,10309,215835793.517,456.6214312,50.1977097108,2381.0
157,10307,46028382.6298,456.6214312,90.9964794976,308.0
158,10280,2234114.00737,1894.32123955,43.8271578884,422.0
159,11372,20163283.8743,14007.6978176,188.270937714,7969.0
160,11004,22606526.9136,1425.05329643,374.880085236,11366.0
161,11040,6269333.41195,827.114600622,463.820348589,1534.0
162,11426,49609163.5394,1745.07584018,311.946365816,11541.0
163,11365,69385865.5947,1396.07366458,195.513212329,4157.0
164,11001,9155180.26276,1870.84656909,632.616224709,3845.0
165,11375,55587771.8345,4845.23973575,72.1909130273,3149.0
166,11427,39435767.4173,2088.3422247,157.696088544,3881.0
167,11374,25203558.581,10246.5160634,142.594133369,3687.0
168,11366,20358592.7503,2269.25582737,84.2197065564,6588.0
169,11423,45095032.1009,1377.9753955,60.0409964352,3808.0
170,11428,21927545.4923,3269.03108345,107.224000551,6737.0
171,11432,60177575.6381,5292.41126165,133.32824757,6470.0
172,11379,57622817.0454,1747.09247151,20.4659282741,1762.0
173,11429,39559398.2845,781.939059871,31.3960814459,729.0
174,11435,42105899.1565,5363.93508358,174.744419307,3161.0
175,11415,16802279.5094,8035.21342044,128.953677238,4275.0
176,11418,32025130.9228,9392.29413542,148.005357007,5159.0
177,11433,47739432.5965,1129.3917735,3.89267030243,1755.0
178,11451,487599.726795,1967.7933952,0.507595932042,36.0
179,11221,38580480.4343,1870.36945908,18.0241320248,738.0
180,11421,24314441.7639,5394.89803861,63.004662141,2206.0
181,11419,31278858.1025,8037.49421006,105.41984859,3051.0
182,11434,87379704.1578,456.6214312,17.8711480748,454.0
183,11216,26478229.2634,2698.31544435,11.4980819834,1334.0
184,11416,18854849.8013,6592.67900567,70.6372431012,2503.0
185,11233,37871693.6823,1886.50416293,21.4214132324,1108.0
186,10055,37223.5387906,4241.65791849,0.0,0.0
187,10019,18828383.1168,3524.80314153,83.4622047673,1596.0
188,10111,103066.253267,4241.65791849,0.0,0.0
189,10153,80339.6472253,4241.65791849,0.0,0.0
190,10154,79148.8023947,4241.65791849,29.0,29.0
191,10152,59924.9982737,4241.65791849,29.0,29.0
